Source,Target,Type,Id,Label,timeset,Weight
13678754,335066620,Undirected,266,,,1
14785048,20113344,Undirected,274,,,1
14785048,24457357,Undirected,275,,,1
14785048,27835117,Undirected,276,,,1
14785048,48038134,Undirected,277,,,1
14785048,51109331,Undirected,278,,,1
14785048,51151239,Undirected,279,,,1
14785048,51415668,Undirected,280,,,1
14785048,55859088,Undirected,281,,,1
14785048,75730636,Undirected,282,,,1
14785048,92102535,Undirected,283,,,1
14785048,112323601,Undirected,284,,,1
14785048,117257470,Undirected,285,,,1
14785048,123135073,Undirected,286,,,1
14785048,163604438,Undirected,287,,,1
14785048,169281899,Undirected,288,,,1
14785048,238700453,Undirected,289,,,1
14785048,591276730,Undirected,290,,,1
15604345,21245937,Undirected,293,,,1
15604345,27835117,Undirected,294,,,1
15604345,64971391,Undirected,295,,,1
15604345,298914898,Undirected,296,,,1
15604345,467822313,Undirected,297,,,1
15604345,540038266,Undirected,298,,,1
15737074,29713255,Undirected,299,,,1
15737074,44213703,Undirected,300,,,1
15737074,57516130,Undirected,301,,,1
15737074,99535897,Undirected,302,,,1
15737074,157945423,Undirected,303,,,1
16294266,18871167,Undirected,308,,,1
16294266,22386134,Undirected,309,,,1
16294266,22468715,Undirected,310,,,1
16294266,30228633,Undirected,311,,,1
16294266,82877090,Undirected,312,,,1
16294266,97673870,Undirected,313,,,1
16294266,103354854,Undirected,314,,,1
16294266,132535988,Undirected,315,,,1
16294266,137211660,Undirected,316,,,1
16294266,138385912,Undirected,317,,,1
16294266,141201828,Undirected,318,,,1
16294266,227089859,Undirected,319,,,1
16914661,105656625,Undirected,322,,,1
16914661,112840687,Undirected,323,,,1
16914661,227089859,Undirected,324,,,1
16914661,546700624,Undirected,325,,,1
18871167,22221511,Undirected,333,,,1
18871167,22386134,Undirected,334,,,1
18871167,22425585,Undirected,335,,,1
18871167,22468715,Undirected,336,,,1
18871167,22794354,Undirected,337,,,1
18871167,30019096,Undirected,338,,,1
18871167,30228633,Undirected,339,,,1
18871167,30573135,Undirected,340,,,1
18871167,36726292,Undirected,341,,,1
18871167,50030086,Undirected,342,,,1
18871167,94858410,Undirected,343,,,1
18871167,97673870,Undirected,344,,,1
18871167,101326289,Undirected,345,,,1
18871167,103354854,Undirected,346,,,1
18871167,132535988,Undirected,347,,,1
18871167,137211660,Undirected,348,,,1
18871167,137694077,Undirected,349,,,1
18871167,138385912,Undirected,350,,,1
18871167,141201828,Undirected,351,,,1
18871167,151443934,Undirected,352,,,1
18871167,335898091,Undirected,353,,,1
19296294,27835117,Undirected,354,,,1
19296294,79993521,Undirected,355,,,1
19296294,393042942,Undirected,356,,,1
19745720,21718456,Undirected,359,,,1
19745720,21759323,Undirected,360,,,1
19745720,22643458,Undirected,361,,,1
19745720,24457357,Undirected,362,,,1
19745720,27280042,Undirected,363,,,1
19745720,27835117,Undirected,364,,,1
19745720,29560623,Undirected,365,,,1
19745720,92102535,Undirected,366,,,1
19745720,117257470,Undirected,367,,,1
19745720,123135073,Undirected,368,,,1
19745720,139023671,Undirected,369,,,1
19745720,185242892,Undirected,370,,,1
20113344,22221511,Undirected,377,,,1
20113344,26919756,Undirected,378,,,1
20113344,27835117,Undirected,379,,,1
20113344,29037626,Undirected,380,,,1
20113344,30554816,Undirected,381,,,1
20113344,41848358,Undirected,382,,,1
20113344,48038134,Undirected,383,,,1
20113344,51109331,Undirected,384,,,1
20113344,51474395,Undirected,385,,,1
20113344,64971391,Undirected,386,,,1
20113344,81809586,Undirected,387,,,1
20113344,92102535,Undirected,388,,,1
20113344,95872161,Undirected,389,,,1
20113344,99535897,Undirected,390,,,1
20113344,117257470,Undirected,391,,,1
20113344,118572183,Undirected,392,,,1
20113344,139538492,Undirected,393,,,1
20113344,154318196,Undirected,394,,,1
20113344,238700453,Undirected,395,,,1
20113344,244474708,Undirected,396,,,1
20113344,253520047,Undirected,397,,,1
20113344,591276730,Undirected,398,,,1
21245937,27835117,Undirected,402,,,1
21245937,64971391,Undirected,403,,,1
21245937,298914898,Undirected,404,,,1
21718456,24457357,Undirected,410,,,1
21718456,27280042,Undirected,411,,,1
21718456,27835117,Undirected,412,,,1
21718456,51474395,Undirected,413,,,1
21718456,57146654,Undirected,414,,,1
21718456,75730636,Undirected,415,,,1
21718456,92102535,Undirected,416,,,1
21718456,112323601,Undirected,417,,,1
21718456,117257470,Undirected,418,,,1
21718456,123135073,Undirected,419,,,1
21718456,139023671,Undirected,420,,,1
21718456,157945423,Undirected,421,,,1
21718456,169281899,Undirected,422,,,1
21759323,22643458,Undirected,430,,,1
21759323,24457357,Undirected,431,,,1
21759323,27835117,Undirected,432,,,1
21759323,29560623,Undirected,433,,,1
21759323,55859088,Undirected,434,,,1
21759323,112323601,Undirected,435,,,1
21759323,117257470,Undirected,436,,,1
21759323,118572183,Undirected,437,,,1
21759323,123135073,Undirected,438,,,1
21759323,163604438,Undirected,439,,,1
21759323,169281899,Undirected,440,,,1
21759323,335066620,Undirected,441,,,1
22221511,27835117,Undirected,445,,,1
22221511,29713255,Undirected,446,,,1
22221511,41848358,Undirected,447,,,1
22221511,57179635,Undirected,448,,,1
22221511,92102535,Undirected,449,,,1
22221511,99535897,Undirected,450,,,1
22221511,118572183,Undirected,451,,,1
22221511,138385912,Undirected,452,,,1
22221511,157945423,Undirected,453,,,1
22221511,467822313,Undirected,454,,,1
